,District name,OutcomeRatePct
211,Barkhamsted School District,74.426713
212,Berlin School District,76.36125
213,Berlin School District,67.360698
214,Berlin School District,72.584194
215,Berlin School District,77.966986
216,Berlin School District,78.490906
217,Bethany School District,82.360334
218,Bethel School District,82.46509
219,Bethel School District,77.267964
220,Bethel School District,68.909087
221,Bethel School District,87.781343
222,Bethel School District,74.547528
223,Bloomfield School District,68.527852
224,Bloomfield School District,60.624358
225,Bloomfield School District,55.75687
226,Bloomfield School District,48.492614
227,Bloomfield School District,42.068447
228,Bloomfield School District,65.359071
229,Bolton School District,69.328613
230,Bolton School District,84.714088
231,Bozrah School District,80.777086
232,Branford School District,73.005595
233,Branford School District,67.272385
234,Branford School District,78.472743
235,Branford School District,73.553415
236,Branford School District,71.28575
237,Bridgeport School District,65.371269
238,Bridgeport School District,48.771883
239,Bridgeport School District,44.855388
240,Bridgeport School District,63.095398
241,Bridgeport School District,61.563913
242,Bridgeport School District,61.876316
243,Bridgeport School District,53.390308
244,Bridgeport School District,51.807042
245,Bridgeport School District,48.405887
246,Bridgeport School District,59.355047
247,Bridgeport School District,46.106297
248,Bridgeport School District,57.779276
249,Bridgeport School District,45.668258
250,Bridgeport School District,48.418724
251,Bridgeport School District,46.229054
252,Bridgeport School District,54.019365
253,Bridgeport School District,43.06374
254,Bridgeport School District,61.167412
255,Bridgeport School District,59.980678
256,Bridgeport School District,62.909545
257,Bridgeport School District,64.334222
258,Bridgeport School District,46.706779
259,Bridgeport School District,56.301507
260,Bridgeport School District,60.716869
261,Bridgeport School District,41.584804
262,Bridgeport School District,49.188101
263,Bridgeport School District,70.218272
264,Bridgeport School District,65.557561
265,Bridgeport School District,39.963419
266,Bridgeport School District,49.80022
267,Bridgeport School District,50.86953
268,Bridgeport School District,53.09012
269,Bridgeport School District,49.280496
270,Bridgeport School District,47.300709
271,Bridgeport School District,40.675983
272,Bristol School District,60.970192
273,Bristol School District,66.726925
274,Bristol School District,67.020912
275,Bristol School District,61.626625
276,Bristol School District,62.149769
